ID	Label	size	group	rank
86	Alistipes  finegoldi	26	gray	4
85	Alistipes  inops	26	gray	5
84	Blautia  obeum 	26	green	3
83	Dorea  formicigenerans	26	green	6
82	Dorea  longicatena	26	green	7
81	Lachnospira eligens	28	green	5
80	[Eubacterium] rectale	26	green	2
79	Eubacterium  ventriosum	26	green	1
78	Odoribacter  splanchnicus	26	gray	1
77	Parabacteroides  distasonis	16	gray	2
76	Parabacteroides  merdae	15	gray	3
75	Roseburia  faecis	26	green	10
74	Roseburia  hominis	27	green	8
73	Roseburia  inulinivorans	26	green	9
72	[Ruminococcus] torques	26	green	4

