Receiver	Donor	Smetana score
Alistipes finegoldii	Alistipes inops	0.183333
Alistipes finegoldii	Blautia obeum	0.175000
Alistipes finegoldii	Dorea formicigenerans	0.154167
Alistipes finegoldii	Dorea longicatena	0.128333
Alistipes finegoldii	Lachnospira eligens	5.290000
Alistipes finegoldii	Lachnospira rectale	0.300000
Alistipes finegoldii	Lachnospira ventriosum	0.152500
Alistipes finegoldii	Odoribacter splanchnicus	4.480000
Alistipes finegoldii	Parabacteroides distasonis	0.351667
Alistipes finegoldii	Parabacteroides merdae	6.100000
Alistipes finegoldii	Roseburia faecis	0.061667
Alistipes finegoldii	Roseburia hominis	0.326667
Alistipes finegoldii	Roseburia inulinivorans	0.155833
Alistipes finegoldii	Ruminococcus torques	0.142500
Alistipes inops	Alistipes finegoldii	0.311500
Alistipes inops	Blautia obeum	0.984200
Alistipes inops	Dorea formicigenerans	1.735800
Alistipes inops	Dorea longicatena	0.944300
Alistipes inops	Lachnospira eligens	14.370000
Alistipes inops	Lachnospira rectale	2.088100
Alistipes inops	Lachnospira ventriosum	2.595500
Alistipes inops	Odoribacter splanchnicus  	9.330000
Alistipes inops	Parabacteroides distasonis	2.702400
Alistipes inops	Parabacteroides merdae	4.765800
Alistipes inops	Roseburia faecis  	0.649000
Alistipes inops	Roseburia hominis  	9.922000
Alistipes inops	Roseburia inulinivorans	1.331900
Alistipes inops	Ruminococcus torques	3.451000
Blautia obeum	Alistipes finegoldii	0.382200
Blautia obeum	Alistipes inops	0.342000
Blautia obeum	Dorea formicigenerans	0.401400
Blautia obeum	Dorea longicatena	0.273600
Blautia obeum	Lachnospira eligens	8.470000
Blautia obeum	Lachnospira rectale	5.330000
Blautia obeum	Lachnospira ventriosum	0.608000
Blautia obeum	Odoribacter splanchnicus  	0.847000
Blautia obeum	Parabacteroides distasonis	0.609600
Blautia obeum	Parabacteroides merdae	0.761400
Blautia obeum	Roseburia faecis  	0.337500
Blautia obeum	Roseburia hominis  	1.362000
Blautia obeum	Roseburia inulinivorans	0.679900
Blautia obeum	Ruminococcus torques	0.613200
Dorea formicigenerans	Alistipes finegoldii	0.076383
Dorea formicigenerans	Alistipes inops	0.585957
Dorea formicigenerans	Blautia obeum	7.590000
Dorea formicigenerans	Dorea longicatena	0.947872
Dorea formicigenerans	Lachnospira eligens	10.610000
Dorea formicigenerans	Lachnospira rectale	7.560000
Dorea formicigenerans	Lachnospira ventriosum	0.921064
Dorea formicigenerans	Odoribacter splanchnicus  	5.660000
Dorea formicigenerans	Parabacteroides distasonis	0.779362
Dorea formicigenerans	Parabacteroides merdae	0.855957
Dorea formicigenerans	Roseburia faecis  	0.878936
Dorea formicigenerans	Roseburia hominis  	1.292553
Dorea formicigenerans	Roseburia inulinivorans	1.225532
Dorea formicigenerans	Ruminococcus torques	1.237021
Dorea longicatena	Alistipes finegoldii	0.064615
Dorea longicatena	Alistipes inops	0.145385
Dorea longicatena	Blautia obeum	0.216923
Dorea longicatena	Dorea formicigenerans	0.095385
Dorea longicatena	Lachnospira eligens	4.060000
Dorea longicatena	Lachnospira rectale	0.126154
Dorea longicatena	Lachnospira ventriosum	0.115385
Dorea longicatena	Odoribacter splanchnicus  	3.050000
Dorea longicatena	Parabacteroides distasonis	0.106154
Dorea longicatena	Parabacteroides merdae	0.129231
Dorea longicatena	Roseburia faecis  	0.036154
Dorea longicatena	Roseburia hominis  	0.240769
Dorea longicatena	Roseburia inulinivorans	0.176154
Dorea longicatena	Ruminococcus torques	0.214615
Lachnospira eligens	Alistipes finegoldii	0.346667
Lachnospira eligens	Alistipes inops	0.156333
Lachnospira eligens	Blautia obeum	0.259000
Lachnospira eligens	Dorea formicigenerans	0.078000
Lachnospira eligens	Dorea longicatena	0.086000
Lachnospira eligens	Lachnospira rectale	2.090000
Lachnospira eligens	Lachnospira ventriosum	0.141000
Lachnospira eligens	Odoribacter splanchnicus  	0.528667
Lachnospira eligens	Parabacteroides distasonis	0.070000
Lachnospira eligens	Parabacteroides merdae	0.096000
Lachnospira eligens	Roseburia faecis  	0.061333
Lachnospira eligens	Roseburia hominis  	0.178000
Lachnospira eligens	Roseburia inulinivorans	0.104667
Lachnospira eligens	Ruminococcus torques	0.175333
Lachnospira rectale	Alistipes finegoldii	0.600000
Lachnospira rectale	Alistipes inops	0.455600
Lachnospira rectale	Blautia obeum	0.600600
Lachnospira rectale	Dorea formicigenerans	0.603000
Lachnospira rectale	Dorea longicatena	0.250800
Lachnospira rectale	Lachnospira eligens	7.280000
Lachnospira rectale	Lachnospira ventriosum	0.858000
Lachnospira rectale	Odoribacter splanchnicus  	1.088000
Lachnospira rectale	Parabacteroides distasonis	0.713000
Lachnospira rectale	Parabacteroides merdae	0.667800
Lachnospira rectale	Roseburia faecis  	0.217800
Lachnospira rectale	Roseburia hominis  	0.342400
Lachnospira rectale	Roseburia inulinivorans	0.166200
Lachnospira rectale	Ruminococcus torques	1.260900
Lachnospira ventriosum	Alistipes finegoldii	0.401400
Lachnospira ventriosum	Alistipes inops	0.425600
Lachnospira ventriosum	Blautia obeum	1.831500
Lachnospira ventriosum	Dorea formicigenerans	0.328700
Lachnospira ventriosum	Dorea longicatena	0.340100
Lachnospira ventriosum	Lachnospira eligens	5.690000
Lachnospira ventriosum	Lachnospira rectale	3.730000
Lachnospira ventriosum	Odoribacter splanchnicus  	3.310000
Lachnospira ventriosum	Parabacteroides distasonis	0.157700
Lachnospira ventriosum	Parabacteroides merdae	0.323000
Lachnospira ventriosum	Roseburia faecis  	0.307800
Lachnospira ventriosum	Roseburia hominis  	0.496800
Lachnospira ventriosum	Roseburia inulinivorans	0.260100
Lachnospira ventriosum	Ruminococcus torques	1.919500
Odoribacter splanchnicus  	Alistipes finegoldii	0.117273
Odoribacter splanchnicus  	Alistipes inops	0.043636
Odoribacter splanchnicus  	Blautia obeum	0.120909
Odoribacter splanchnicus  	Dorea formicigenerans	0.772909
Odoribacter splanchnicus  	Dorea longicatena	0.130000
Odoribacter splanchnicus  	Lachnospira eligens	3.680000
Odoribacter splanchnicus  	Lachnospira rectale	0.130000
Odoribacter splanchnicus  	Lachnospira ventriosum	0.572000
Odoribacter splanchnicus  	Parabacteroides distasonis	0.583818
Odoribacter splanchnicus  	Parabacteroides merdae	0.605091
Odoribacter splanchnicus  	Roseburia faecis  	0.118182
Odoribacter splanchnicus  	Roseburia hominis  	0.150000
Odoribacter splanchnicus  	Roseburia inulinivorans	0.143636
Odoribacter splanchnicus  	Ruminococcus torques	0.553091
Parabacteroides distasonis	Lachnospira eligens	3.690000
Parabacteroides distasonis	Parabacteroides merdae	0.893333
Parabacteroides distasonis	Roseburia hominis  	0.703333
Parabacteroides merdae	Lachnospira eligens	5.740000
Roseburia faecis  	Alistipes finegoldii	0.636400
Roseburia faecis  	Alistipes inops	0.390000
Roseburia faecis  	Blautia obeum	0.382000
