from	to	receiver	donor	Smetana score	node attribution	EdgeBetweenness
86	85	Alistipes_finegoldii_DSM_17242	Alistipes_putredinis_DSM_17216	0.183333	orange	2
86	84	Alistipes_finegoldii_DSM_17242	Blautia_obeum_ATCC_29174	0.175000	orange	2
86	83	Alistipes_finegoldii_DSM_17242	Dorea_formicigenerans_ATCC_27755	0.154167	orange	2
86	82	Alistipes_finegoldii_DSM_17242	Dorea_longicatena_DSM_13814	0.128333	orange	2
86	81	Alistipes_finegoldii_DSM_17242	Eubacterium_eligens_ATCC_27750	5.290000	orange	2
86	80	Alistipes_finegoldii_DSM_17242	Eubacterium_rectale_ATCC_33656	0.300000	orange	2
86	79	Alistipes_finegoldii_DSM_17242	Eubacterium_ventriosum_ATCC_27560	0.152500	orange	2
86	78	Alistipes_finegoldii_DSM_17242	Odoribacter_splanchnicus_1651_6_DSM_20712	4.480000	orange	2
86	77	Alistipes_finegoldii_DSM_17242	Parabacteroides_distasonis_ATCC_8503	0.351667	orange	2
86	76	Alistipes_finegoldii_DSM_17242	Parabacteroides_merdae_ATCC_43184	6.100000	orange	2
86	75	Alistipes_finegoldii_DSM_17242	Roseburia_faecis_M72	0.061667	orange	2
86	74	Alistipes_finegoldii_DSM_17242	Roseburia_hominis_A2_183	0.326667	orange	2
86	73	Alistipes_finegoldii_DSM_17242	Roseburia_inulinivorans_DSM_16841	0.155833	orange	2
86	72	Alistipes_finegoldii_DSM_17242	Ruminococcus_torques_ATCC_27756	0.142500	orange	2
85	86	Alistipes_putredinis_DSM_17216	Alistipes_finegoldii_DSM_17242	0.311500	orange	2
85	84	Alistipes_putredinis_DSM_17216	Blautia_obeum_ATCC_29174	0.984200	orange	2
85	83	Alistipes_putredinis_DSM_17216	Dorea_formicigenerans_ATCC_27755	1.735800	orange	2
85	82	Alistipes_putredinis_DSM_17216	Dorea_longicatena_DSM_13814	0.944300	orange	2
85	81	Alistipes_putredinis_DSM_17216	Eubacterium_eligens_ATCC_27750	14.370000	orange	2
